IT,EMBARCACIÓN,PORCENTAJE,SEMANA
1,BARCO 1,0.0,1
2,BARCO 2,0.0,1
3,BARCO 3,0.0,1
4,BARCO 4,0.0,1
5,BARCO 5,0.0,1
6,BARCO 6,0.0,1
7,BARCO 7,0.0,1
8,BARCO 8,0.0,1
9,BARCO 9,0.0,1
10,BARCO 10,0.0,1
11,BARCO 11,0.0,1
12,BARCO 12,0.0,1
13,BARCO 13,0.0,1
14,BARCO 14,0.0,1
15,BARCO 15,0.0,1
16,BARCO 16,0.0,1
17,BARCO 17,0.0,1
18,BARCO 18,0.0,1
19,BARCO 19,0.0,1
20,BARCO 20,0.0,1
21,BARCO 21,0.0,1
22,BARCO 22,0.0,1
23,BARCO 23,0.05,1
24,BARCO 24,0.0,1
25,BARCO 25,0.0,1
26,BARCO 26,0.05,1
27,BARCO 27,0.0,1
28,BARCO 28,0.0,1
29,BARCO 29,0.0,1
30,BARCO 30,0.0,1
1,BARCO 1,0.0,2
2,BARCO 2,0.0,2
3,BARCO 3,0.0,2
4,BARCO 4,0.0,2
5,BARCO 5,0.0,2
6,BARCO 6,0.0,2
7,BARCO 7,0.0,2
8,BARCO 8,0.0,2
9,BARCO 9,0.0,2
10,BARCO 10,0.0,2
11,BARCO 11,0.0,2
12,BARCO 12,0.0,2
13,BARCO 13,0.0,2
14,BARCO 14,0.0,2
15,BARCO 15,0.0,2
16,BARCO 16,0.0,2
17,BARCO 17,0.0,2
18,BARCO 18,0.0,2
19,BARCO 19,0.0,2
20,BARCO 20,0.0,2
21,BARCO 21,0.0,2
22,BARCO 22,0.0,2
23,BARCO 23,0.05,2
24,BARCO 24,0.0,2
25,BARCO 25,0.0,2
26,BARCO 26,0.05,2
27,BARCO 27,0.0,2
28,BARCO 28,0.0,2
29,BARCO 29,0.0,2
30,BARCO 30,0.0,2
1,BARCO 1,0.25,3
2,BARCO 2,0.05,3
3,BARCO 3,0.05,3
4,BARCO 4,0.05,3
5,BARCO 5,0.05,3
6,BARCO 6,0.0,3
7,BARCO 7,0.05,3
8,BARCO 8,0.0,3
9,BARCO 9,0.1,3
10,BARCO 10,0.05,3
11,BARCO 11,0.25,3
12,BARCO 12,0.0,3
13,BARCO 13,0.0,3
14,BARCO 14,0.25,3
15,BARCO 15,0.0,3
16,BARCO 16,0.0,3
17,BARCO 17,0.125,3
18,BARCO 18,0.0,3
19,BARCO 19,0.05,3
20,BARCO 20,0.05,3
